,,,,,,,
Municï¿½pios,Dentistas por mil habitantes Ano 2008,Dentistas por mil habitantes Ano 2009,Dentistas por mil habitantes Ano 2010,Dentistas por mil habitantes Ano 2011,Dentistas por mil habitantes Ano 2012,Dentistas por mil habitantes Ano 2013,
Santana do Ipanema,270800,"0,44","0,46","0,42","0,29","0,4","0,40125"
Santana do Mundaú,270810,"0,42","0,75","0,82","0,46","0,37","0,449075"
São Brás,270820,"0,43","0,43","0,3",0,0,0
São José da Laje,270830,"0,48","0,52","0,53","0,18","0,17","0,167736"
São José da Tapera,270840,"0,19","0,16","0,23","0,1","0,03","0,03138"
São Luís do Quitunde,270850,"0,34","0,37","0,37","0,09","0,09","0,087619"
São Miguel dos Campos,270860,"0,45","0,48","0,49","0,32","0,25","0,220052"
São Miguel dos Milagres,270870,"0,67","0,66","0,7","0,14","0,54","0,389156"
São Sebastião,270880,"0,78","0,62","0,66","0,16","0,15","0,177378"
Satuba,270890,"0,62","0,68","0,68","0,2","0,2","0,190634"
Senador Rui Palmeira,270895,"0,23","0,23","0,23",0,0,0
Tanque d'Arca,270900,"0,34","0,35","0,33",0,0,0
Taquarana,270910,"0,37","0,32","0,26","0,1","0,16","0,152091"
Teotônio Vilela,270915,"0,43","0,6","0,56","0,22","0,22","0,229331"
Traipu,270920,"0,16","0,15","0,19",0,"0,04","0,03638"
União dos Palmares,270930,"0,51","0,72","0,66","0,45","0,41","0,427514"
Viçosa,270940,"0,19","0,22","0,24","0,12","0,04","0,152155"
